"Name","Ticker","FundId","Firm Name ID","Firm Name","Branding Name ID","Branding Name","Inception 
Date","Listing Date","Obsolete 
Date","Obsolete 
Type","Merged Into 
Security","Merged into 
Security ID","Converted From Date","Converted From Name","Converted From Date","Converted From Name","Investment Type","US Category Group","Morningstar Category","Index 
Fund","Fund of 
Funds","Active Non Transparent","Tax Managed","Advisor","Domicile","Manager Name","Oldest 
Share Class","Ticker of 
Fund's 
Oldest Share Class","Name of 
Fund's 
Oldest Share Class","Subadvised","Subadvisor","Sustainable Investment Overall 
2023-01","Sustainable Investment Overall","Sustainable Investment - Environmental Sector Overall 
2021-05","Sustainable Investment - ESG Fund Overall 
2021-05","Estimated Share Class Net Flow (Yearly) 
Year2019 
USD","Estimated Share Class Net Flow (Yearly) 
Year2020 
USD","Estimated Share Class Net Flow (Yearly) 
Year2021 
USD","Estimated Share Class Net Flow (Yearly) 
Year2022 
USD","Estimated Share Class Net Flow (Yearly) 
Year2023 
USD","Net Assets - share class (Monthly) 
2019-01 
USD","Net Assets - share class (Monthly) 
2019-02 
USD","Net Assets - share class (Monthly) 
2019-03 
USD","Net Assets - share class (Monthly) 
2019-04 
USD","Net Assets - share class (Monthly) 
2019-05 
USD","Net Assets - share class (Monthly) 
2019-06 
USD","Net Assets - share class (Monthly) 
2019-07 
USD","Net Assets - share class (Monthly) 
2019-08 
USD","Net Assets - share class (Monthly) 
2019-09 
USD","Net Assets - share class (Monthly) 
2019-10 
USD","Net Assets - share class (Monthly) 
2019-11 
USD","Net Assets - share class (Monthly) 
2019-12 
USD","Net Assets - share class (Monthly) 
2020-01 
USD","Net Assets - share class (Monthly) 
2020-02 
USD","Net Assets - share class (Monthly) 
2020-03 
USD","Net Assets - share class (Monthly) 
2020-04 
USD","Net Assets - share class (Monthly) 
2020-05 
USD","Net Assets - share class (Monthly) 
2020-06 
USD","Net Assets - share class (Monthly) 
2020-07 
USD","Net Assets - share class (Monthly) 
2020-08 
USD","Net Assets - share class (Monthly) 
2020-09 
USD","Net Assets - share class (Monthly) 
2020-10 
USD","Net Assets - share class (Monthly) 
2020-11 
USD","Net Assets - share class (Monthly) 
2020-12 
USD","Net Assets - share class (Monthly) 
2021-01 
USD","Net Assets - share class (Monthly) 
2021-02 
USD","Net Assets - share class (Monthly) 
2021-03 
USD","Net Assets - share class (Monthly) 
2021-04 
USD","Net Assets - share class (Monthly) 
2021-05 
USD","Net Assets - share class (Monthly) 
2021-06 
USD","Net Assets - share class (Monthly) 
2021-07 
USD","Net Assets - share class (Monthly) 
2021-08 
USD","Net Assets - share class (Monthly) 
2021-09 
USD","Net Assets - share class (Monthly) 
2021-10 
USD","Net Assets - share class (Monthly) 
2021-11 
USD","Net Assets - share class (Monthly) 
2021-12 
USD","Net Assets - share class (Monthly) 
2022-01 
USD","Net Assets - share class (Monthly) 
2022-02 
USD","Net Assets - share class (Monthly) 
2022-03 
USD","Net Assets - share class (Monthly) 
2022-04 
USD","Net Assets - share class (Monthly) 
2022-05 
USD","Net Assets - share class (Monthly) 
2022-06 
USD","Net Assets - share class (Monthly) 
2022-07 
USD","Net Assets - share class (Monthly) 
2022-08 
USD","Net Assets - share class (Monthly) 
2022-09 
USD","Net Assets - share class (Monthly) 
2022-10 
USD","Net Assets - share class (Monthly) 
2022-11 
USD","Net Assets - share class (Monthly) 
2022-12 
USD","Net Assets - share class (Monthly) 
2023-01 
USD","Net Assets - share class (Monthly) 
2023-02 
USD","Net Assets - share class (Monthly) 
2023-03 
USD","Net Assets - share class (Monthly) 
2023-04 
USD","Net Assets - share class (Monthly) 
2023-05 
USD","Net Assets - share class (Monthly) 
2023-06 
USD","Net Assets - share class (Monthly) 
2023-07 
USD","Net Assets - share class (Monthly) 
2023-08 
USD","Net Assets - share class (Monthly) 
2023-09 
USD","Net Assets - share class (Monthly) 
2023-10 
USD","Net Assets - share class (Monthly) 
2023-11 
USD","Net Assets - share class (Monthly) 
2023-12 
USD"
"ICON Consumer Select Ins{mg}","","FS0000FQ9P","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Consumer Select Investor","US78410K7900","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","ICON Consumer Select Ins{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICON Consumer Select Insl{mg}","","FS0000FQ9P","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Consumer Select Institutional","US78410K7827","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","ICON Consumer Select Ins{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICON Equity Institutional{mg}","","FS0000FQ9Q","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Equity Institutional","US78410K8320","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","ICON Equity Institutional{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICON Equity Investor{mg}","","FS0000FQ9Q","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Equity Investor","US78410K8403","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","ICON Equity Institutional{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICON Equity Income Fund New Ins{mg}","","FS0000FQ9V","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Equity Income Institutional","US78410K8163","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","ICON Equity Income Fund New Ins{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICON Equity Income Fund New Inv{mg}","","FS0000FQ9V","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Equity Income Investor","US78410K8247","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","ICON Equity Income Fund New Ins{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICON Flexible Bond Fund New Inv{mg}","","FS0000FQ9W","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Flexible Bond Investor","US78410K7173","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","ICON Flexible Bond Fund New Instl{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICON Flexible Bond Fund New Instl{mg}","","FS0000FQ9W","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Flexible Bond Institutional","US78410K6910","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","ICON Flexible Bond Fund New Instl{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICON Health And Information Tech Inv{mg}","","FS0000FQ9R","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Health and Information Tech Inv","US78410K7587","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","ICON Health And Information Tech Ins{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICON Health And Information Tech Ins{mg}","","FS0000FQ9R","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Health and Information Tech Instl","US78410K7413","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","ICON Health And Information Tech Ins{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICON Natural Resources New Inv{mg}","","FS0000FQ9X","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Natural Resources and Infras Inv","US78410K7744","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","ICON Natural Resources New Ins{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICON Natural Resources New Ins{mg}","","FS0000FQ9X","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Natural Resources and Infras Instl","US78410K7660","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","ICON Natural Resources New Ins{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICON Utilities And Income Insl{mg}","","FS0000FQ9S","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Utilities and Income Instl","US78410K7256","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","ICON Utilities And Income Insl{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICON Utilities And Income Inv{mg}","","FS0000FQ9S","0C00001IS5","ICON Funds","BN0000092E","ICON","2020-02-04","","2020-07-10","Merged","ICON Utilities and Income Inv","US78410K7330","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","ICON Utilities And Income Insl{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Square Advsry Rsrch AllCpVal I{mg}","","FS0000FQU7","0C0000BI92","North Square","BN00000JV6","North Square","2020-02-10","","2020-02-21","Merged","North Square Advisory Rsrch Sm Cp Val I","US66263L7753","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","North Square Advsry Rsrch AllCpVal I{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Square Strategic Income I{mg}","","FS0000FQU8","0C0000BI92","North Square","BN00000JV6","North Square","2020-02-10","","2020-02-21","Merged","North Square Strategic Income I","US66263L7910","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","North Square Strategic Income I{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aquila Tax-Free Trust of Oregon Y{mg}","","FS0000FTMT","0C00001YPM","Aquila","BN000007YC","Aquila","2020-03-31","","2020-06-30","Merged","Aquila Tax-Free Trust of Oregon Y","US03842N3035","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","Aquila Tax-Free Trust of Oregon F{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aquila Tax-Free Trust of Oregon A{mg}","","FS0000FTMT","0C00001YPM","Aquila","BN000007YC","Aquila","2020-03-31","","2020-06-30","Merged","Aquila Tax-Free Trust of Oregon A","US03842N1054","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","Aquila Tax-Free Trust of Oregon F{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aquila Tax-Free Trust of Oregon C{mg}","","FS0000FTMT","0C00001YPM","Aquila","BN000007YC","Aquila","2020-03-31","","2020-06-30","Merged","Aquila Tax-Free Trust of Oregon C","US03842N2045","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","Aquila Tax-Free Trust of Oregon F{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aquila Tax-Free Trust of Oregon F{mg}","","FS0000FTMT","0C00001YPM","Aquila","BN000007YC","Aquila","2020-03-31","","2020-06-30","Merged","Aquila Tax-Free Trust of Oregon F","US03842N5014","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","Aquila Tax-Free Trust of Oregon F{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Schwab High Yield Municipal Bond {mg}","","FS0000FZ73","0C00001YTL","Schwab Funds","BN000008ES","Charles Schwab","2020-06-26","","2020-08-07","Merged","Schwab Opportunistic Municipal Bond","US8085176845","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","Schwab High Yield Municipal Bond {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXS Thomson Reuters Priv EqIdxC {mg}","","FS0000G73A","0C0000BNIB","AXS","BN00000M6L","AXS","2020-10-16","","2020-11-23","Merged","AXS Thomson Reuters Priv Eq Ret Trckr C","US46141T3150","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","AXS Thomson Reuters Priv EqIdxA {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXS Thomson Reuters Priv EqIdxI {mg}","","FS0000G73A","0C0000BNIB","AXS","BN00000M6L","AXS","2020-10-16","","2020-11-23","Merged","AXS Thomson Reuters Priv Eq Ret Trckr I","US46141T2996","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","AXS Thomson Reuters Priv EqIdxA {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXS Thomson Reuters Priv EqIdxA {mg}","","FS0000G73A","0C0000BNIB","AXS","BN00000M6L","AXS","2020-10-16","","2020-11-23","Merged","AXS Thomson Reuters Priv Eq Ret Trckr A","US46141T3234","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","AXS Thomson Reuters Priv EqIdxA {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXS Thomson Reuters Vntr CptlIdxC {mg}","","FS0000G73B","0C0000BNIB","AXS","BN00000M6L","AXS","2020-10-16","","2020-11-23","Merged","AXS FTSE Vntr Cptl RetTrckr C","US46141T2731","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","AXS Thomson Reuters Vntr CptlIdxA {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXS Thomson Reuters Vntr CptlIdxI {mg}","","FS0000G73B","0C0000BNIB","AXS","BN00000M6L","AXS","2020-10-16","","2020-11-23","Merged","AXS FTSE Vntr Cptl RetTrckr I","US46141T2657","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","AXS Thomson Reuters Vntr CptlIdxA {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXS Thomson Reuters Vntr CptlIdxA {mg}","","FS0000G73B","0C0000BNIB","AXS","BN00000M6L","AXS","2020-10-16","","2020-11-23","Merged","AXS FTSE Vntr Cptl RetTrckr A","US46141T2814","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","AXS Thomson Reuters Vntr CptlIdxA {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VALIC Company I Aggressive Gr Lfstyl{mg}","","FS0000G7E6","0C00001VXP","VALIC","BN00000CH4","VALIC","2020-10-21","","2021-05-24","Merged","VALIC Company I Agrsv Growth Lifestyle","US91915R5744","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","VALIC Company I Aggressive Gr Lfstyl{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VALIC Company I US Socially Rspnsbl{mg}","","FS0000G7E7","0C00001VXP","VALIC","BN00000CH4","VALIC","2020-10-21","","2021-05-24","Merged","VALIC Company I U.S. Socially Rspnb","US91915R4754","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","VALIC Company I US Socially Rspnsbl{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VALIC Company I Capital Appreciation{mg}","","FS0000G7E8","0C00001VXP","VALIC","BN00000CH4","VALIC","2020-10-21","","2021-05-24","Merged","VALIC Company I Capital Appreciation","US91915R5660","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","VALIC Company I Capital Appreciation{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VALIC Company I Consrvtv Gr Lfstyl{mg}","","FS0000G7E9","0C00001VXP","VALIC","BN00000CH4","VALIC","2020-10-21","","2021-05-24","Merged","VALIC Company I Cnsrv Gr Lifestyle","US91915R5587","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","VALIC Company I Consrvtv Gr Lfstyl{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VALIC Company I Core Bond{mg}","","FS0000G7EA","0C00001VXP","VALIC","BN00000CH4","VALIC","2020-10-21","","2021-05-24","Merged","VALIC Company I Core Bond","US91915R5413","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","VALIC Company I Core Bond{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VALIC Company I High Yield Bond{mg}","","FS0000G7EB","0C00001VXP","VALIC","BN00000CH4","VALIC","2020-10-21","","2021-05-24","Merged","VALIC Company I High Yield Bond","US91915R5330","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","VALIC Company I High Yield Bond{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VALIC Company I International Opps{mg}","","FS0000G7EC","0C00001VXP","VALIC","BN00000CH4","VALIC","2020-10-21","","2021-05-24","Merged","VALIC Company I International Opps","US91915R5256","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","VALIC Company I International Opps{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VALIC Company I Mid Cap Value{mg}","","FS0000G7ED","0C00001VXP","VALIC","BN00000CH4","VALIC","2020-10-21","","2021-05-24","Merged","VALIC Company I Mid Cap Value","US91915R5173","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","VALIC Company I Mid Cap Value{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VALIC Company I Moderate Gr Lfstyl{mg}","","FS0000G7EE","0C00001VXP","VALIC","BN00000CH4","VALIC","2020-10-21","","2021-05-24","Merged","VALIC Company I Moderate Gr Lifestyle","US91915R4911","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","VALIC Company I Moderate Gr Lfstyl{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VALIC Company I Small Cap Value{mg}","","FS0000G7EF","0C00001VXP","VALIC","BN00000CH4","VALIC","2020-10-21","","2021-05-24","Merged","VALIC Company I Small Cap Value","US91915R4838","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","VALIC Company I Small Cap Value{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Waycross Long/Short Equity New{mg}","","FS0000G7KX","0C0000AWOW","Waycross","BN00000HH0","Waycross","2020-08-14","","2020-11-18","Merged","Waycross Managed Risk Equity Fund","US9441742007","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","Waycross Long/Short Equity New{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Securian AM Balanced StabiliNewIns{mg}","","FS0000G8V3","0C00004AL9","Liberty Street","BN00000C84","Liberty Street","2020-11-11","","2020-12-11","Merged","Securian AM Balanced Stabilization Instl","US46143U7735","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","Securian AM Balanced StabiliNewIns{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Securian AM Balanced Stabilizatn New A","","FS0000G8V3","0C00004AL9","Liberty Street","BN00000C84","Liberty Street","2020-11-11","","2023-02-27","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","Securian AM Balanced StabiliNewIns{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Securian AM Equity StabiliNewIns{mg}","","FS0000G8V4","0C00004AL9","Liberty Street","BN00000C84","Liberty Street","2020-11-11","","2020-12-11","Merged","Securian AM Equity Stabilization Instl","US46143U7578","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","Securian AM Equity StabiliNewIns{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Securian AM Equity Stabilization New A","","FS0000G8V4","0C00004AL9","Liberty Street","BN00000C84","Liberty Street","2020-11-11","","2023-02-27","Liquidated","","","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","Securian AM Equity StabiliNewIns{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Securian AM Real AssetIncNewIns{mg}","","FS0000G8V7","0C00004AL9","Liberty Street","BN00000C84","Liberty Street","2020-11-11","","2020-12-11","Merged","Securian AM Real Asset Income Instl","US46143U7990","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","Securian AM Real Asset Income New A","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SouthernSun Small Cap N {mg}","","FS0000G9Y9","0C0000AKVN","IP Unsure (Only US OE Use)","BN00000A5Z","Test 34","2020-12-02","","2021-02-12","Merged","SouthernSun Small Cap, N","US00774Q1638","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","SouthernSun Small Cap I {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SouthernSun Small Cap I {mg}","","FS0000G9Y9","0C0000AKVN","IP Unsure (Only US OE Use)","BN00000A5Z","Test 34","2020-12-02","","2021-02-12","Merged","SouthernSun Small Cap, I","US00774Q1554","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","SouthernSun Small Cap I {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SouthernSun US Equity N {mg}","","FS0000G9YA","0C0000AKVN","IP Unsure (Only US OE Use)","BN00000A5Z","Test 34","2020-12-02","","2021-02-12","Merged","SouthernSun U.S. Equity, N","US00774Q1893","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","SouthernSun US Equity I {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SouthernSun US Equity I {mg}","","FS0000G9YA","0C0000AKVN","IP Unsure (Only US OE Use)","BN00000A5Z","Test 34","2020-12-02","","2021-02-12","Merged","SouthernSun U.S. Equity, I","US00774Q1711","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","SouthernSun US Equity I {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USA Mutuals All Seasons Inst {mg}","","FS0000GA0X","0C0000AKVN","IP Unsure (Only US OE Use)","BN00000A5Z","Test 34","2020-12-04","","2021-01-22","Merged","USA Mutuals All Seasons Institutional","US66538H2940","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","USA Mutuals All Seasons Inst {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USA Mutuals All Seasons Z {mg}","","FS0000GA0X","0C0000AKVN","IP Unsure (Only US OE Use)","BN00000A5Z","Test 34","2020-12-04","","2021-01-22","Merged","USA Mutuals All Seasons Z","","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","USA Mutuals All Seasons Inst {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ziegler FAMCO Hedged Equity Instl{mg}","","FS0000GB09","0C0000AYRI","Ziegler","BN00000AP6","Ziegler","2020-12-21","","2020-12-22","Merged","Ziegler FAMCO Hedged Equity Instl","US89832P2267","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","Ziegler FAMCO Hedged Equity Instl{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXS Merger I{mg}","","FS0000GCVE","0C0000BNIB","AXS","BN00000M6L","AXS","2021-01-06","","2021-01-22","Merged","AXS Merger Fd I","US46141T1907","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","AXS Merger I{mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"James Alpha EHS R6 {mg}","","FS0000GCVF","0C0000BPQ1","James Alpha Advisors","BN00000KKC","James Alpha","2020-12-31","","2021-03-19","Merged","Easterly EHS R6","US4702586821","","","","","Open-End Fund","","","No","No","No","","","United States","","No","","James Alpha EHS I {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"James Alpha EHS I {mg}","","FS0000GCVF","0C0000BPQ1","James Alpha Advisors","BN00000KKC","James Alpha","2020-12-31","","2021-03-19","Merged","Easterly EHS I","US4702587811","","","","","Open-End Fund","","","No","No","No","","","United States","","Yes","","James Alpha EHS I {mg}","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
